
Invoices Entry :9:26:43 AM Tuesday, July 20, 2021
=====================================================================Invoices=====================================================================================
InvoiceNo  20217944929  | DocDate   7/9/2021 12:41:37 PM  | Currency Code  ZWL  | Customer Number   PR7441524099   |Reference    41102  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217844869  | DocDate   7/9/2021 7:42:03 AM  | Currency Code  ZWL  | Customer Number   PR9695426834   |Reference    41035  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GF003
InvoiceNo  20217844865  | DocDate   7/8/2021 3:29:03 PM  | Currency Code  ZWL  | Customer Number   PR66051527209   |Reference    41031  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB005
InvoiceNo  20217844864  | DocDate   7/9/2021 7:54:53 AM  | Currency Code  ZWL  | Customer Number   PR9499227168   |Reference    41030  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GS002
InvoiceNo  20217844862  | DocDate   7/9/2021 11:06:50 AM  | Currency Code  ZWL  | Customer Number   PR724007696   |Reference    41028  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  20217844861  | DocDate   7/8/2021 2:49:03 PM  | Currency Code  ZWL  | Customer Number   PR49141127116   |Reference    41027  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GG003
InvoiceNo  20217844860  | DocDate   7/9/2021 9:45:09 AM  | Currency Code  ZWL  | Customer Number   PR10978627205   |Reference    41026  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SM002
InvoiceNo  20217844855  | DocDate   7/8/2021 2:00:32 PM  | Currency Code  ZWL  | Customer Number   PR299630454   |Reference    41021  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  20217844854  | DocDate   7/9/2021 10:39:35 AM  | Currency Code  ZWL  | Customer Number   PR54635227204   |Reference    41020  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GF003
InvoiceNo  20217844853  | DocDate   7/8/2021 2:04:01 PM  | Currency Code  ZWL  | Customer Number   PR57266713816   |Reference    41019  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  20217844852  | DocDate   7/8/2021 1:15:05 PM  | Currency Code  ZWL  | Customer Number   PR41707727091   |Reference    41018  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP005
InvoiceNo  20217844849  | DocDate   7/8/2021 12:56:11 PM  | Currency Code  ZWL  | Customer Number   PR5569627161   |Reference    41015  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217844845  | DocDate   7/9/2021 12:33:00 PM  | Currency Code  ZWL  | Customer Number   PR59611927185   |Reference    41010  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217844843  | DocDate   7/8/2021 11:42:07 AM  | Currency Code  ZWL  | Customer Number   PR39897827081   |Reference    41008  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GE001
InvoiceNo  20217844842  | DocDate   7/8/2021 12:19:02 PM  | Currency Code  ZWL  | Customer Number   PR34314917411   |Reference    41007  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GI001
InvoiceNo  20217844841  | DocDate   7/8/2021 11:28:42 AM  | Currency Code  ZWL  | Customer Number   PR65401627201   |Reference    41006  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SL001
InvoiceNo  20217844840  | DocDate   7/9/2021 10:03:35 AM  | Currency Code  ZWL  | Customer Number   PR36627627186   |Reference    41005  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  20217844839  | DocDate   7/8/2021 10:58:35 AM  | Currency Code  ZWL  | Customer Number   PR9474027196   |Reference    41003  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217844838  | DocDate   7/8/2021 10:47:17 AM  | Currency Code  ZWL  | Customer Number   PR78819227146   |Reference    41002  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GH001
InvoiceNo  20217844837  | DocDate   7/8/2021 10:43:19 AM  | Currency Code  ZWL  | Customer Number   PR2001226326   |Reference    41001  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GN005
InvoiceNo  20217844836  | DocDate   7/9/2021 11:09:32 AM  | Currency Code  ZWL  | Customer Number   PR1679003364   |Reference    41000  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SH004
InvoiceNo  20217844834  | DocDate   7/8/2021 10:15:21 AM  | Currency Code  ZWL  | Customer Number   PR1455737499   |Reference    40998  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GE001
InvoiceNo  202131134656  | DocDate   7/8/2021 9:58:55 AM  | Currency Code  ZWL  | Customer Number   PR90547611628   |Reference    40997  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GE001
InvoiceNo  20217844833  | DocDate   7/8/2021 9:31:35 AM  | Currency Code  ZWL  | Customer Number   PR49141127116   |Reference    40996  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SL001
InvoiceNo  20217844832  | DocDate   7/9/2021 10:25:50 AM  | Currency Code  ZWL  | Customer Number   PR75362619010   |Reference    40995  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP005
InvoiceNo  20217844831  | DocDate   7/9/2021 11:11:26 AM  | Currency Code  ZWL  | Customer Number   PR4521837772   |Reference    40994  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SS001
InvoiceNo  20217844830  | DocDate   7/8/2021 9:22:58 AM  | Currency Code  ZWL  | Customer Number   PR8605696032   |Reference    40993  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GF004
InvoiceNo  20217844827  | DocDate   7/9/2021 8:39:34 AM  | Currency Code  ZWL  | Customer Number   PR31460010333   |Reference    40990  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM003
InvoiceNo  20217844826  | DocDate   7/8/2021 8:29:30 AM  | Currency Code  ZWL  | Customer Number   PR71415117039   |Reference    40989  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GE001
InvoiceNo  20217844823  | DocDate   7/9/2021 8:45:40 AM  | Currency Code  ZWL  | Customer Number   PR1645488205   |Reference    40986  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP003
InvoiceNo  20217844822  | DocDate   7/8/2021 8:01:57 AM  | Currency Code  ZWL  | Customer Number   PR9957336811   |Reference    40985  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GI001
InvoiceNo  20217844821  | DocDate   7/8/2021 9:01:27 AM  | Currency Code  ZWL  | Customer Number   PR96361926901   |Reference    40984  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SS002
InvoiceNo  20217844820  | DocDate   7/8/2021 7:28:12 AM  | Currency Code  ZWL  | Customer Number   PR96496327187   |Reference    40983  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP006
InvoiceNo  20217844819  | DocDate   7/9/2021 8:13:03 AM  | Currency Code  ZWL  | Customer Number   PR80174523889   |Reference    40982  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GS002
InvoiceNo  20217844818  | DocDate   7/8/2021 7:22:16 AM  | Currency Code  ZWL  | Customer Number   PR26207017609   |Reference    40981  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP006
InvoiceNo  20217844817  | DocDate   7/9/2021 11:12:19 AM  | Currency Code  ZWL  | Customer Number   PR14406923299   |Reference    40980  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GU005
InvoiceNo  20217844816  | DocDate   7/8/2021 8:04:00 AM  | Currency Code  ZWL  | Customer Number   PR1769867156   |Reference    40979  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  20217844814  | DocDate   7/8/2021 11:03:35 AM  | Currency Code  ZWL  | Customer Number   PR83558327183   |Reference    40977  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GV002
InvoiceNo  20217844813  | DocDate   7/8/2021 6:39:44 AM  | Currency Code  ZWL  | Customer Number   PR5443482266   |Reference    40976  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GG003
InvoiceNo  20217844810  | DocDate   7/8/2021 5:38:03 AM  | Currency Code  ZWL  | Customer Number   PR74211327084   |Reference    40973  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM002
InvoiceNo  20217844809  | DocDate   7/8/2021 5:38:58 AM  | Currency Code  ZWL  | Customer Number   PR42955911941   |Reference    40972  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP006
InvoiceNo  20217844808  | DocDate   7/8/2021 10:45:21 AM  | Currency Code  ZWL  | Customer Number   PR59648827167   |Reference    40971  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217744807  | DocDate   7/9/2021 11:12:58 AM  | Currency Code  ZWL  | Customer Number   PR17539027181   |Reference    40970  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP005
InvoiceNo  20217744806  | DocDate   7/7/2021 8:24:19 PM  | Currency Code  ZWL  | Customer Number   PR5101921986   |Reference    40969  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  20217744805  | DocDate   7/7/2021 7:32:24 PM  | Currency Code  ZWL  | Customer Number   PR39707211160   |Reference    40968  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB005
InvoiceNo  20217744804  | DocDate   7/7/2021 7:22:37 PM  | Currency Code  ZWL  | Customer Number   PR1511826800   |Reference    40967  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GS004
InvoiceNo  20217744803  | DocDate   7/7/2021 7:20:07 PM  | Currency Code  ZWL  | Customer Number   PR16888021707   |Reference    40966  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  20217744801  | DocDate   7/7/2021 4:12:44 PM  | Currency Code  ZWL  | Customer Number   PR22539327156   |Reference    40964  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC005
InvoiceNo  20217744800  | DocDate   7/7/2021 4:07:30 PM  | Currency Code  ZWL  | Customer Number   PR6575705759   |Reference    40963  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB002
InvoiceNo  20217744798  | DocDate   7/8/2021 6:03:33 AM  | Currency Code  ZWL  | Customer Number   PR23607827166   |Reference    40961  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP006
InvoiceNo  20217744797  | DocDate   7/9/2021 11:14:08 AM  | Currency Code  ZWL  | Customer Number   PR86100115525   |Reference    40960  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM004
InvoiceNo  20217744795  | DocDate   7/7/2021 1:57:02 PM  | Currency Code  ZWL  | Customer Number   PR22545627170   |Reference    40958  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GG003
InvoiceNo  20217744794  | DocDate   7/7/2021 1:20:46 PM  | Currency Code  ZWL  | Customer Number   PR55706327046   |Reference    40957  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GA001
InvoiceNo  20217744792  | DocDate   7/7/2021 12:46:41 PM  | Currency Code  ZWL  | Customer Number   PR44898327114   |Reference    40955  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SH005
InvoiceNo  20217744791  | DocDate   7/7/2021 12:30:19 PM  | Currency Code  ZWL  | Customer Number   PR41707727091   |Reference    40954  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GB003
InvoiceNo  20217744790  | DocDate   7/7/2021 12:13:37 PM  | Currency Code  ZWL  | Customer Number   PR24965013972   |Reference    40953  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB004
InvoiceNo  20217744789  | DocDate   7/7/2021 12:22:16 PM  | Currency Code  ZWL  | Customer Number   PR5256081838   |Reference    40952  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  20217744788  | DocDate   7/7/2021 11:36:41 AM  | Currency Code  ZWL  | Customer Number   PR21944927154   |Reference    40951  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GE001
InvoiceNo  20217744787  | DocDate   7/9/2021 10:08:39 AM  | Currency Code  ZWL  | Customer Number   PR92904612868   |Reference    40950  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217744786  | DocDate   7/7/2021 10:51:30 AM  | Currency Code  ZWL  | Customer Number   PR30898227155   |Reference    40949  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  20217744783  | DocDate   7/7/2021 10:33:28 AM  | Currency Code  ZWL  | Customer Number   PR66017827020   |Reference    40944  | SubTotal   24000     |total   $24000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GE001
InvoiceNo  20217744782  | DocDate   7/7/2021 11:56:24 AM  | Currency Code  ZWL  | Customer Number   PR40532927128   |Reference    40943  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB005
InvoiceNo  20217744781  | DocDate   7/9/2021 10:56:03 AM  | Currency Code  ZWL  | Customer Number   PR12652415414   |Reference    40942  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SA001
InvoiceNo  20217744780  | DocDate   7/7/2021 10:02:35 AM  | Currency Code  ZWL  | Customer Number   PR16885227151   |Reference    40941  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217744779  | DocDate   7/9/2021 11:18:47 AM  | Currency Code  ZWL  | Customer Number   PR36826127152   |Reference    40939  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  20217744778  | DocDate   7/8/2021 8:07:40 AM  | Currency Code  ZWL  | Customer Number   PR44005327132   |Reference    40938  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC005
InvoiceNo  20217744777  | DocDate   7/7/2021 9:14:00 AM  | Currency Code  ZWL  | Customer Number   PR34188027051   |Reference    40937  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SL002
InvoiceNo  20217744776  | DocDate   7/7/2021 1:42:12 PM  | Currency Code  ZWL  | Customer Number   PR7765318149   |Reference    40936  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP005
InvoiceNo  20217744775  | DocDate   7/7/2021 8:55:34 AM  | Currency Code  ZWL  | Customer Number   PR390264505   |Reference    40935  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  20217744774  | DocDate   7/9/2021 6:30:39 AM  | Currency Code  ZWL  | Customer Number   PR39464425049   |Reference    40934  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SQ001
InvoiceNo  20217744772  | DocDate   7/8/2021 8:53:48 AM  | Currency Code  ZWL  | Customer Number   PR97584327126   |Reference    40929  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC006
InvoiceNo  20217744771  | DocDate   7/7/2021 8:44:17 AM  | Currency Code  ZWL  | Customer Number   PR95100127150   |Reference    40928  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP004
InvoiceNo  20217744770  | DocDate   7/7/2021 8:38:06 AM  | Currency Code  ZWL  | Customer Number   PR71415117039   |Reference    40927  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GF004
InvoiceNo  20217744769  | DocDate   7/7/2021 9:22:35 AM  | Currency Code  ZWL  | Customer Number   PR6616293723   |Reference    40926  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SM002
InvoiceNo  20217744767  | DocDate   7/9/2021 7:17:34 AM  | Currency Code  ZWL  | Customer Number   PR8489023452   |Reference    40922  | SubTotal   24000     |total   $24000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217744762  | DocDate   7/7/2021 6:47:29 AM  | Currency Code  ZWL  | Customer Number   PR49141127116   |Reference    40916  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GA001
InvoiceNo  20217744760  | DocDate   7/8/2021 8:04:14 AM  | Currency Code  ZWL  | Customer Number   PR92487111757   |Reference    40914  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC009
InvoiceNo  20217744759  | DocDate   7/7/2021 5:20:38 AM  | Currency Code  ZWL  | Customer Number   PR71912715506   |Reference    40913  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP001
InvoiceNo  20217744758  | DocDate   7/7/2021 5:08:08 AM  | Currency Code  ZWL  | Customer Number   PR6284559957   |Reference    40912  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SS001
InvoiceNo  20217744756  | DocDate   7/7/2021 1:08:18 AM  | Currency Code  ZWL  | Customer Number   PR601223705   |Reference    40910  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SM002
InvoiceNo  20217644755  | DocDate   7/6/2021 7:42:37 PM  | Currency Code  ZWL  | Customer Number   PR42929027107   |Reference    40909  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB005
InvoiceNo  20217644754  | DocDate   7/6/2021 5:12:21 PM  | Currency Code  ZWL  | Customer Number   PR97576327142   |Reference    40908  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SM004
InvoiceNo  20217644753  | DocDate   7/9/2021 8:38:01 AM  | Currency Code  ZWL  | Customer Number   PR1340227138   |Reference    40907  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP001
InvoiceNo  20217644752  | DocDate   7/7/2021 6:28:31 AM  | Currency Code  USD  | Customer Number   PR59441527124   |Reference    40906  | SubTotal   750     |total   $750  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SG001
InvoiceNo  20217644751  | DocDate   7/7/2021 7:18:48 AM  | Currency Code  ZWL  | Customer Number   PR7510369040   |Reference    40905  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  20217644750  | DocDate   7/7/2021 6:40:19 AM  | Currency Code  ZWL  | Customer Number   PR76514827135   |Reference    40904  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217644748  | DocDate   7/6/2021 1:03:47 PM  | Currency Code  ZWL  | Customer Number   PR83130920584   |Reference    40902  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GN003
InvoiceNo  20217644747  | DocDate   7/7/2021 8:58:53 AM  | Currency Code  ZWL  | Customer Number   PR95494826721   |Reference    40901  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP006
InvoiceNo  20217644746  | DocDate   7/6/2021 3:33:18 PM  | Currency Code  ZWL  | Customer Number   PR47801612489   |Reference    40900  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GS006
InvoiceNo  20217644743  | DocDate   7/6/2021 1:29:28 PM  | Currency Code  ZWL  | Customer Number   PR7368472860   |Reference    40897  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GS006
